
0.12     6
9.54     -7
0.85     10
3.14     5
-2.82     7
2.08     -10
7.76     9
-6.5     10
-3.67     -8
-9.09     7
8.75     -9
-8.8     -3
2.3     -4
8.15     -6
7.53     3
-7.06     10
2.36     -1
-3.36     7
-1.82     4
3.37     -4
9.46     -2
9.06     3
5.6     4
1.64     -1
-5.43     -2
-3.05     0
5.16     7
0.92     -5
3.48     -2
8.34     -5
3.17     -1
8.6     10
6.38     6
10.42     -4
8.19     -3
-8.5     3
-8.42     -5
7.63     2
-8.07     -7
7.74     7
1.03     -9
-5.19     -1
9.95     -4
2.58     -8
-8.69     6
9.34     -2
-1.21     1
-1.96     4
-4.8     -5
-0.23     -8
-6.05     -7
5.98     -6
-0.69     10
-7.24     -4
-2.32     9
-7.49     -7
10.66     -3
-9.44     2
5.17     4
-1.06     6
-4.5     1
1.27     3
2.48     9
9.97     2
1.54     -4
8.59     -7
1.45     2
4.37     4
7.27     7
-0.74     8
-4.4     -7
-7.87     -5
6.5     -1
-3.72     -10
3.76     1
-7.08     2
-7.44     1
10.65     -7
4.69     4
-9.22     -6
2.42     8
-8.86     -5
-4.93     2
10.94     -1
0.58     4
6.47     5
-8.57     -2
-4.23     6
-0.34     -10
-2.66     -9
-1.63     10
-6.91     6
-5.88     9
7.52     -1
8.02     1
-8.72     7
1.85     0
9.77     7
0.78     10
9.48     3
-3.49     8
-6.92     -8
5.56     1
-0.3     -2
-4.26     -6
3     3
-0.69     -10
-6.53     10
0.34     2
-8.46     7
-1.39     -1
8.42     -1
9.88     10
-5.2     5
-3.56     -5
-3.77     10
10.46     6
3.21     9
0.11     10
1.6     -10
-0.39     -7
-0.59     5
-8.56     -1
-2.62     -2
-8     -6
9.13     7
3.41     3
1.05     -7
3.42     6
-9.76     7
-6.77     6
6.05     -4
7.73     3
-7.66     -6
3.5     -1
-5.85     -7
9.6     4
4.65     -10
2.12     -1
4.25     -9
0.04     7
8.11     -7
-7.06     3
0.42     1
6.4     6
4.93     4
2.49     -3
6.13     -7
7.06     6
4.46     -6
-7.91     -1
-4.87     6
-7.72     6
9.35     5
-2.49     1
-2.32     -7
-0.16     6
-0.46     7
9.84     6
-3.49     0
9.56     -2
6.87     0
-8.79     0
9.47     10
-4.57     2
7.57     8
-4.49     4
3.92     -5
1.27     5
-1.25     9
4.49     -6
6.47     5
10.89     -10
6.84     -5
3.89     -10
-4.21     9
7.04     4
4.91     1
-5.01     3
-6.52     -1
4.5     7
-0.25     -4
6.24     7
7.84     6
7.35     -1
0.59     8
-2.33     7
2.66     -2
10.59     3
-0.17     7
2.09     -4
-1.2     8
-2.26     -6
4.75     -9
7.1     -7
4.06     -3
0.07     7
-4.07     -7
8.77     -2
2.1     6
2.75     10
1.28     8
-0.75     -4
9.8     3
2.28     -8
-7.04     7
8.91     5
10.88     9
9.16     1
-7.86     5
-5.16     10
5.08     -4
-1.2     -8
-7.1     5
0.16     -4
-0.84     1
-6.58     5
10.69     -2
10.39     -9
3.37     7
-9.62     -1
-1.92     9
-2.65     3
9.37     -5
8.47     9
2.3     -8
7.3     -2
-9.34     -1
-0.8     -3
1.61     -8
-3.22     -10
-5.21     7
2.28     9
1.28     -6
-1.87     5
0.31     -2
3.9     0
-1.77     -6
1.55     1
-7.5     1
-8.84     0
0.88     -7
3.01     -7
-7     -5
2.84     5
-6.98     -1
-5.68     5
-2.79     5
-6.56     -4
-0.6     6
-2.83     -7
9.86     -10
0.02     6
2.17     -3
7.71     0
-0.4     5
3.9     5
-7.3     -8
2.38     6
10.54     0
-4.42     5
4.94     3
10.02     8
-9.71     8
-3.8     3
-7.37     -7
-7.32     5
-5.39     4
-3.03     0
-6.89     5
-2.24     8
6.02     8
4     -3
6.81     0
11     -9
-0.07     9
7.84     -7
-1.97     -3
-0.36     -8
-6.2     9
-9.84     -10
4.9     -6
9.67     -1
-9.78     10
-2.57     1
7.39     5
5.72     9
5.96     -9
5.95     -9
7.75     -6
-7.58     -4
-3.47     -3
0.85     7
9.94     4
9.49     10
9.44     -6
4.44     5
-9.76     -8
8.29     10
-7.45     3
-1.26     -2
8.31     6
2.56     8
9.82     -8
9.16     9
-8.59     8
0.75     -4
-7.86     10
9.7     -1
1     8
-4.99     1
-9.3     9
-2.2     2
-5.24     0
-8.56     3
-2.98     4
0.45     7
0.89     -1
6.7     -8
0.78     -3
-6.81     -3
7.21     -10
8.19     0
-5.35     6
2.2     6
10.02     3
3.73     7
-4.84     -6
-4.27     0
-0.06     -9
1.51     -4
-5.12     7
-3.65     -9
-3.36     1
3.77     5
-0.52     8
-1.07     -6
-8.58     -2
-0.81     3
9.02     -1
5.22     0
-8.22     -7
4.77     -6
8.75     -1
5.77     4
4.88     -5
-9.77     1
-5.46     -8
-6.6     -3
-9.98     5
9.94     2
-8.14     -5
4.16     -6
6.18     10
-9.77     -9
1.36     -4
2.72     6
3.32     5
-9.43     1
6.45     4
-2.99     -9
-5.19     -8
10.22     -9
8.75     0
-5.71     8
7.29     -3
7.32     2
-6.08     2
-4.11     -3
-2.05     -8
-3.48     -8
0.77     -9
1.32     -3
-3.13     -1
6.95     4
-9.76     -1
9.56     6
-1.31     4
9.9     1
2.13     5
-6.82     -9
9.15     -7
2.64     -9
2.24     -6
-7.48     -4
-9.64     3
-3.65     6
-7.35     7
10.61     4
3.24     8
-3.64     9
-4.83     0
-0.34     -3
-4.01     8
-2.07     3
1.47     -1
3.17     8
-2.57     -4
-5.47     -4
2.49     -6
9.34     5
-3.43     -10
-5.41     8
-0.17     -1
-8.46     -7
10.45     2
-2.67     3
-2.41     -4
-3.34     -10
-5.19     -1
-3.57     -2
8.77     4
2.03     -4
-1.39     -1
-6.7     4
6.77     -6
-8.86     9
-4.84     -6
0.98     -1
0.87     -5
-4.68     -3
8.13     8
-5.04     -7
9.87     -6
8.88     -10
-5.94     -4
-2.17     1
0.9     -1
-9.72     1
1.07     -8
-2.61     -6
3.24     10
-7.31     2
9.32     0
-8.87     3
5.53     -4
-3.31     -4
9.11     10
5.75     -3
-2.06     1
-7.47     6
4.26     9
-7.03     -1
-9.54     -10
3.38     -7
8.02     -10
0.09     -2
5.37     -6
-7.21     -1
3.22     -1
-3.63     7
-7.29     8
0.7     1
0.67     -2
3.34     -9
9.55     2
5.44     -7
10.13     3
-4.77     -3
-5.2     -4
-7.91     -8
3.49     -6
0.89     0
-6.72     -6
5.87     6
5.03     10
-6.01     -2
-0.63     2
9.88     -5
9.63     3
-3.55     -4
-8.47     0
-5.31     -5
-5.38     2
-4.17     -2
2.22     -3
5     -2
8.26     8
9.12     1
2.67     -8
8.71     -2
6.29     -8
10.54     -2
9.84     0
-9.44     -8
-0.53     5
-6.52     5
-1.51     0
8.09     -2
-7.76     -6
10.51     6
-7.36     5
-9.22     -8
9.39     5
-4.31     5
-4.51     5
8.79     -3
1.49     0
3.94     0
-6.34     -3
